name,source_ref,source_pool,decision,tier,category,relevance_score,quality_score,freshness_score,stability_score,uniqueness_score,ai_density_score,ai_density_estimate,marketing_risk,marketing_penalty,shallow_content_penalty,commercial_content_ratio,commercial_commentary_penalty,generic_tech_ratio,generic_tech_penalty,source_dependency_risk,final_score,exclusion_reason,keep_or_drop_reason
人人都是产品经理,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
量子位,https://www.qbitai.com/feed,curated_ai_sources,keep,B,technical_share,8,7,9,8,7,8,high,medium,2,2,0.1,1,0.0,0,1,7.05,,中文 AI 新闻密度较高，用作国内动态补充，默认按严格评分进入精选。
LangChain Blog,https://blog.langchain.dev/rss/,curated_ai_sources,keep,A,technical_share,9,8,8,9,8,9,high,low,1,1,0.0,0,0.0,0,1,8.25,,LangGraph、Agent、评测、RAG 和 LLM 应用工程实践长文。
Hugging Face Blog,https://huggingface.co/blog/feed.xml,curated_ai_sources,keep,A,technical_share,9,8,8,9,9,9,high,low,1,1,0.0,0,0.0,0,1,8.35,,模型、数据集、推理优化和开源 AI 生态的技术长文源。
AWS Machine Learning Blog,https://aws.amazon.com/blogs/amazon-ai/feed/,temporary_rss_pool,drop,C,,5,5,5,6,4,5,medium,low,1,3,0.1,1,0.2,2,2,,candidate_not_curated,可能 AI 相关，但未达到本轮核心池的稳定性/独特性/低噪声要求。
Engineering at Meta,https://engineering.fb.com/feed/,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Microsoft Azure Blog,https://azure.microsoft.com/en-us/blog/feed/,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Elastic Blog,https://www.elastic.co/blog/feed,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Grafana Labs,https://grafana.com/categories/engineering/index.xml,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
宝玉的分享,https://baoyu.io/feed.xml,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
掘金本周最热,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
deeplearning.ai,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,5,5,5,6,4,5,medium,low,1,3,0.1,1,0.2,2,2,,candidate_not_curated,可能 AI 相关，但未达到本轮核心池的稳定性/独特性/低噪声要求。
腾讯技术工程,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
ByteByteGo Newsletter,https://blog.bytebytego.com/feed,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Google Cloud Blog,https://cloudblog.withgoogle.com/rss/,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Last Week in AI,https://lastweekin.ai/feed/,curated_ai_sources,keep,B,technical_share,8,7,8,8,7,8,high,low,1,2,0.1,1,0.0,0,1,7.1,,AI 行业动态与研究进展的高密度周频补充源。
Next.js Blog,https://nextjs.org/feed.xml,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
David Heinemeier Hansson,https://world.hey.com/dhh/feed.atom,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
